+----+---------+--------+--------+-------+--------+--------------+-------+---------+--------+--------+---------+---------------------+
|    |   order |   scan | name   |   att |   coll |   wavelength |   det |   det_y |   temp |   moni |    time | name_hdf            |
|----+---------+--------+--------+-------+--------+--------------+-------+---------+--------+--------+---------+---------------------|
|  0 |       2 | 080332 | mask   |     0 |    4.5 |  5.00158e-09 |   4.5 |       0 |  25    |     20 |   33.97 | sans2021n080332.hdf |
|  1 |       3 | 080333 | mask   |     2 |    4.5 |  5.00051e-09 |   4.5 |       0 |  24.99 |     10 |   17.01 | sans2021n080333.hdf |
|  2 |       4 | 080334 | EB     |     2 |    4.5 |  4.99747e-09 |   4.5 |       0 |  25.63 |     10 |   16.97 | sans2021n080334.hdf |
|  3 |       5 | 080335 | Cd     |     2 |    4.5 |  4.99747e-09 |   4.5 |       0 |  25.37 |     10 |   16.95 | sans2021n080335.hdf |
|  4 |       6 | 080336 | EC     |     2 |    4.5 |  4.99872e-09 |   4.5 |       0 |  25.11 |     10 |   18.13 | sans2021n080336.hdf |
|  5 |       7 | 080337 | H2O    |     2 |    4.5 |  4.99872e-09 |   4.5 |       0 |  25    |     10 |   17    | sans2021n080337.hdf |
|  6 |       8 | 080338 | Cd     |     0 |    4.5 |  4.99926e-09 |   4.5 |       0 |  25    |    100 |  170.71 | sans2021n080338.hdf |
|  7 |       9 | 080339 | EC     |     0 |    4.5 |  5.0023e-09  |   4.5 |       0 |  25    |    500 |  861.77 | sans2021n080339.hdf |
|  8 |      10 | 080340 | H2O    |     0 |    4.5 |  5.00105e-09 |   4.5 |       0 |  25    |    500 |  860.8  | sans2021n080340.hdf |
|  9 |      14 | 080346 | EC     |     0 |    4.5 |  5.0023e-09  |   4.5 |       0 |  25.02 |     10 |    8.31 | sans2021n080346.hdf |
| 10 |      15 | 080347 | G      |     0 |    4.5 |  5.0023e-09  |   4.5 |       0 |  25.01 |     10 |   16.99 | sans2021n080347.hdf |
| 11 |      16 | 080348 | G      |     0 |    4.5 |  4.99819e-09 |   4.5 |       0 |  24.99 |     10 |   19.68 | sans2021n080348.hdf |
| 12 |      17 | 080349 | G      |     0 |    4.5 |  5.00105e-09 |   4.5 |       0 |  25    |     10 |   17.04 | sans2021n080349.hdf |
| 13 |      18 | 080350 | A      |     2 |    4.5 |  5.0023e-09  |   4.5 |       0 |  24.99 |     10 |   16.91 | sans2021n080350.hdf |
