# == pyFAI calibration ==
# Distance Sample to Detector: 17.99987109375 m
# PONI: 4.691e-01, 8.478e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 17999.871 mm
# Center: x=113.045, y=62.551 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.999969899654389e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_18p0\integration/integ_080434_H_18p0m.dat
#       q_nm^-1              I           sigma 
  3.442948e-03    5.000512e+02   3.912469e+01
  3.974745e-03    2.839043e+02   2.178634e+01
  4.506543e-03    1.494605e+02   6.176374e+00
  5.038341e-03    9.073905e+01   2.954720e+00
  5.570139e-03    6.237328e+01   1.723400e+00
  6.101937e-03    4.596109e+01   1.288526e+00
  6.633734e-03    3.501382e+01   8.501101e-01
  7.165532e-03    2.799026e+01   6.924228e-01
  7.697330e-03    2.334309e+01   6.112967e-01
  8.229128e-03    1.818299e+01   5.146960e-01
  8.760926e-03    1.624509e+01   5.009638e-01
  9.292723e-03    1.425117e+01   4.478495e-01
  9.824521e-03    1.243935e+01   4.039114e-01
  1.035632e-02    1.156960e+01   3.864342e-01
  1.088812e-02    1.021544e+01   3.410172e-01
  1.141991e-02    1.020960e+01   3.398178e-01
  1.195171e-02    9.719502e+00   3.147542e-01
  1.248351e-02    7.545673e+00   2.746321e-01
  1.301531e-02    7.817049e+00   2.455373e-01
  1.354711e-02    6.954917e+00   2.493386e-01
  1.407890e-02    7.018713e+00   2.333889e-01
  1.461070e-02    6.599699e+00   2.341185e-01
  1.514250e-02    6.558808e+00   2.623937e-01
  1.567430e-02    6.090854e+00   2.012000e-01
  1.620609e-02    5.404574e+00   2.002048e-01
  1.673789e-02    5.751529e+00   2.019181e-01
  1.726969e-02    5.160553e+00   1.904810e-01
  1.780149e-02    5.001506e+00   1.926898e-01
  1.833329e-02    5.133993e+00   1.978896e-01
  1.886508e-02    4.940025e+00   1.897178e-01
  1.939688e-02    4.873363e+00   1.827256e-01
  1.992868e-02    4.733330e+00   1.744996e-01
  2.046048e-02    4.575070e+00   1.672173e-01
  2.099227e-02    4.612321e+00   1.932549e-01
  2.152407e-02    4.320921e+00   1.441572e-01
  2.205587e-02    4.458851e+00   1.543287e-01
  2.258767e-02    4.019599e+00   1.580586e-01
  2.311947e-02    4.133837e+00   1.611438e-01
  2.365126e-02    4.205726e+00   1.537118e-01
  2.418306e-02    4.341396e+00   1.527384e-01
  2.471486e-02    4.197970e+00   1.723538e-01
  2.524666e-02    3.980907e+00   1.485367e-01
  2.577845e-02    3.762155e+00   1.314585e-01
  2.631025e-02    3.816946e+00   1.419923e-01
  2.684205e-02    3.851597e+00   1.536594e-01
  2.737385e-02    3.638489e+00   1.250290e-01
  2.790565e-02    3.868535e+00   1.379712e-01
  2.843744e-02    3.695147e+00   1.382911e-01
  2.896924e-02    3.703435e+00   1.350318e-01
  2.950104e-02    3.541389e+00   1.284163e-01
  3.003284e-02    3.421540e+00   1.284156e-01
  3.056464e-02    3.265813e+00   1.345587e-01
  3.109643e-02    3.531021e+00   1.271170e-01
  3.162823e-02    3.181105e+00   1.232133e-01
  3.216003e-02    3.538563e+00   1.130752e-01
  3.269183e-02    3.292444e+00   1.185088e-01
  3.322362e-02    3.317618e+00   1.425658e-01
  3.375542e-02    3.374384e+00   1.270181e-01
  3.428722e-02    3.439137e+00   1.529471e-01
  3.481902e-02    3.122246e+00   1.407502e-01
  3.535082e-02    3.341472e+00   1.394101e-01
  3.588261e-02    3.028097e+00   1.318566e-01
  3.641441e-02    3.204037e+00   1.374183e-01
  3.694621e-02    3.259131e+00   1.586686e-01
  3.747801e-02    3.289239e+00   1.368205e-01
  3.800980e-02    3.411349e+00   1.552663e-01
  3.854160e-02    3.227488e+00   1.408868e-01
  3.907340e-02    3.344985e+00   1.316667e-01
  3.960520e-02    3.574948e+00   1.523348e-01
  4.013700e-02    3.153479e+00   1.475560e-01
  4.066879e-02    3.241582e+00   1.659960e-01
  4.120059e-02    3.211845e+00   1.258413e-01
  4.173239e-02    3.206693e+00   1.411624e-01
  4.226419e-02    3.110541e+00   1.348999e-01
  4.279598e-02    3.293498e+00   1.450675e-01
  4.332778e-02    3.315592e+00   1.551360e-01
  4.385958e-02    3.311016e+00   1.541579e-01
  4.439138e-02    3.130861e+00   1.473582e-01
  4.492318e-02    3.104539e+00   1.441547e-01
  4.545497e-02    3.263344e+00   1.327898e-01
  4.598677e-02    3.061703e+00   1.409616e-01
  4.651857e-02    3.179192e+00   1.421208e-01
  4.705037e-02    3.216219e+00   1.425820e-01
  4.758216e-02    3.262489e+00   1.453647e-01
  4.811396e-02    3.142618e+00   1.476394e-01
  4.864576e-02    3.136540e+00   1.616798e-01
  4.917756e-02    2.931387e+00   1.395340e-01
  4.970936e-02    3.180120e+00   1.432790e-01
  5.024115e-02    2.904769e+00   1.447737e-01
  5.077295e-02    3.110549e+00   1.513448e-01
  5.130475e-02    2.834669e+00   1.511378e-01
  5.183655e-02    3.091219e+00   1.371375e-01
  5.236834e-02    2.695913e+00   1.518423e-01
  5.290014e-02    3.152260e+00   1.551035e-01
  5.343194e-02    2.813381e+00   1.429736e-01
  5.396374e-02    2.950603e+00   1.461956e-01
  5.449554e-02    2.993733e+00   1.341331e-01
  5.502733e-02    2.925655e+00   1.326918e-01
  5.555913e-02    2.894855e+00   1.591192e-01
  5.609093e-02    3.179869e+00   1.730783e-01
  5.662273e-02    2.987819e+00   1.415883e-01
  5.715452e-02    3.045164e+00   1.615552e-01
  5.768632e-02    2.828488e+00   1.346463e-01
  5.821812e-02    2.485614e+00   1.284531e-01
  5.874992e-02    2.848037e+00   1.666366e-01
  5.928172e-02    2.756773e+00   1.619370e-01
  5.981351e-02    2.907604e+00   1.958687e-01
  6.034531e-02    2.997196e+00   1.912052e-01
  6.087711e-02    2.570686e+00   1.816380e-01
  6.140891e-02    2.732869e+00   2.555682e-01
  6.194070e-02    3.238199e+00   2.623841e-01
  6.247250e-02    2.798825e+00   1.715251e-01
  6.300430e-02    2.965721e+00   2.625066e-01
  6.353610e-02    2.896817e+00   2.430601e-01
  6.406790e-02    2.581482e+00   3.678569e-01
  6.459969e-02    2.041421e+00   1.982786e-01
  6.513149e-02    2.219479e+00   3.139620e-01
  6.566329e-02    2.510273e+00   2.829452e-01
  6.619509e-02    2.343080e+00   6.123883e-01
  6.672689e-02    1.205107e+00   3.367759e-01
