# == pyFAI calibration ==
# Distance Sample to Detector: 17.99987109375 m
# PONI: 4.691e-01, 8.478e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 17999.871 mm
# Center: x=113.045, y=62.551 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.999969899654389e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_18p0\integration/integ_080425_V_18p0m.dat
#       q_nm^-1              I           sigma 
  3.442948e-03    5.351425e+02   4.128906e+01
  3.974745e-03    3.184298e+02   2.277033e+01
  4.506543e-03    1.714610e+02   6.910008e+00
  5.038341e-03    1.038973e+02   3.477316e+00
  5.570139e-03    6.958778e+01   1.982813e+00
  6.101937e-03    5.009637e+01   1.558554e+00
  6.633734e-03    3.950783e+01   9.676210e-01
  7.165532e-03    3.122375e+01   6.922951e-01
  7.697330e-03    2.653315e+01   7.872875e-01
  8.229128e-03    2.164912e+01   6.151733e-01
  8.760926e-03    1.775739e+01   5.659359e-01
  9.292723e-03    1.594923e+01   4.263390e-01
  9.824521e-03    1.431592e+01   4.408756e-01
  1.035632e-02    1.275920e+01   3.898782e-01
  1.088812e-02    1.174622e+01   3.708822e-01
  1.141991e-02    1.068882e+01   3.315380e-01
  1.195171e-02    1.028322e+01   3.431555e-01
  1.248351e-02    9.189482e+00   3.140141e-01
  1.301531e-02    8.264489e+00   3.057227e-01
  1.354711e-02    8.649658e+00   2.973319e-01
  1.407890e-02    7.244842e+00   2.483430e-01
  1.461070e-02    7.345752e+00   2.523897e-01
  1.514250e-02    7.034321e+00   2.321849e-01
  1.567430e-02    6.554376e+00   1.989505e-01
  1.620609e-02    6.308024e+00   2.138057e-01
  1.673789e-02    6.111919e+00   2.318375e-01
  1.726969e-02    6.016855e+00   2.156973e-01
  1.780149e-02    5.586190e+00   2.181223e-01
  1.833329e-02    6.038692e+00   2.068748e-01
  1.886508e-02    5.296310e+00   1.836668e-01
  1.939688e-02    5.238358e+00   1.776738e-01
  1.992868e-02    4.807182e+00   1.708563e-01
  2.046048e-02    4.817203e+00   1.730943e-01
  2.099227e-02    5.041074e+00   1.869409e-01
  2.152407e-02    4.953102e+00   1.667292e-01
  2.205587e-02    4.940556e+00   1.995297e-01
  2.258767e-02    4.637544e+00   1.634944e-01
  2.311947e-02    4.325552e+00   1.549447e-01
  2.365126e-02    4.269711e+00   1.552263e-01
  2.418306e-02    4.590121e+00   1.660986e-01
  2.471486e-02    4.471869e+00   1.664887e-01
  2.524666e-02    4.368238e+00   1.558830e-01
  2.577845e-02    4.287623e+00   1.642211e-01
  2.631025e-02    3.904631e+00   1.415999e-01
  2.684205e-02    4.273760e+00   1.478254e-01
  2.737385e-02    4.254313e+00   1.538980e-01
  2.790565e-02    3.898407e+00   1.327886e-01
  2.843744e-02    3.997946e+00   1.478225e-01
  2.896924e-02    4.191745e+00   1.317189e-01
  2.950104e-02    3.676115e+00   1.155047e-01
  3.003284e-02    3.817226e+00   1.394465e-01
  3.056464e-02    3.815592e+00   1.287863e-01
  3.109643e-02    3.771983e+00   1.532284e-01
  3.162823e-02    3.770704e+00   1.284531e-01
  3.216003e-02    3.591248e+00   1.237106e-01
  3.269183e-02    3.728904e+00   1.357596e-01
  3.322362e-02    3.962270e+00   1.464210e-01
  3.375542e-02    3.789468e+00   1.471116e-01
  3.428722e-02    3.821917e+00   1.471105e-01
  3.481902e-02    3.704836e+00   1.481371e-01
  3.535082e-02    3.673114e+00   1.464948e-01
  3.588261e-02    3.522605e+00   1.544124e-01
  3.641441e-02    3.516933e+00   1.586573e-01
  3.694621e-02    3.651794e+00   1.597314e-01
  3.747801e-02    3.604810e+00   1.436560e-01
  3.800980e-02    3.411350e+00   1.451651e-01
  3.854160e-02    3.776027e+00   1.531558e-01
  3.907340e-02    3.583426e+00   1.390257e-01
  3.960520e-02    3.416482e+00   1.424428e-01
  4.013700e-02    3.573037e+00   1.597338e-01
  4.066879e-02    3.519042e+00   1.466673e-01
  4.120059e-02    3.652555e+00   1.680391e-01
  4.173239e-02    3.714476e+00   1.543786e-01
  4.226419e-02    3.196214e+00   1.554489e-01
  4.279598e-02    3.488085e+00   1.723148e-01
  4.332778e-02    3.528873e+00   1.580133e-01
  4.385958e-02    3.609433e+00   1.664427e-01
  4.439138e-02    3.701374e+00   1.715106e-01
  4.492318e-02    3.499665e+00   1.664544e-01
  4.545497e-02    3.666916e+00   1.697953e-01
  4.598677e-02    3.360916e+00   1.652621e-01
  4.651857e-02    3.352211e+00   1.560194e-01
  4.705037e-02    3.297470e+00   1.504228e-01
  4.758216e-02    3.591660e+00   1.652573e-01
  4.811396e-02    3.464754e+00   1.584319e-01
  4.864576e-02    3.331220e+00   1.595323e-01
  4.917756e-02    3.308964e+00   1.478460e-01
  4.970936e-02    3.245022e+00   1.516391e-01
  5.024115e-02    3.329140e+00   1.567506e-01
  5.077295e-02    3.110548e+00   1.621168e-01
  5.130475e-02    3.394684e+00   1.681973e-01
  5.183655e-02    3.028560e+00   1.440393e-01
  5.236834e-02    3.304902e+00   1.457505e-01
  5.290014e-02    2.755529e+00   1.415742e-01
  5.343194e-02    3.181283e+00   1.504604e-01
  5.396374e-02    3.239169e+00   1.398268e-01
  5.449554e-02    3.030605e+00   1.518569e-01
  5.502733e-02    2.856494e+00   1.393312e-01
  5.555913e-02    3.350737e+00   1.853976e-01
  5.609093e-02    3.425046e+00   1.780751e-01
  5.662273e-02    3.201232e+00   1.377532e-01
  5.715452e-02    3.303105e+00   1.606244e-01
  5.768632e-02    3.213163e+00   1.460041e-01
  5.821812e-02    3.129473e+00   1.454239e-01
  5.874992e-02    3.414408e+00   1.558539e-01
  5.928172e-02    3.078231e+00   1.826820e-01
  5.981351e-02    3.078639e+00   1.990083e-01
  6.034531e-02    2.931180e+00   2.219213e-01
  6.087711e-02    3.230536e+00   2.205485e-01
  6.140891e-02    2.964460e+00   2.440043e-01
  6.194070e-02    2.707973e+00   2.378370e-01
  6.247250e-02    2.953243e+00   2.160537e-01
  6.300430e-02    3.011356e+00   3.014942e-01
  6.353610e-02    3.068905e+00   2.754572e-01
  6.406790e-02    3.190996e+00   3.521692e-01
  6.459969e-02    2.744198e+00   3.143198e-01
  6.513149e-02    3.170661e+00   4.383272e-01
  6.566329e-02    1.936497e+00   3.441365e-01
  6.619509e-02    2.789354e+00   5.426341e-01
  6.672689e-02    2.410174e+00   3.600580e-01
