+-----+---------+--------+--------+-------+--------+--------------+-------+---------+--------+--------+---------+---------------------+
|     |   order |   scan | name   |   att |   coll |   wavelength |   det |   det_y |   temp |   moni |    time | name_hdf            |
|  40 |      40 | 080372 | A      |     0 |    4.5 |  5.00051e-09 |   4.5 |     0   |  25    |     10 |   17.04 | sans2021n080372.hdf |
|  41 |      41 | 080373 | B      |     0 |    4.5 |  5.00051e-09 |   4.5 |     0   |  24.99 |     10 |   17.06 | sans2021n080373.hdf |
|  42 |      42 | 080374 | C      |     0 |    4.5 |  4.99997e-09 |   4.5 |     0   |  25.01 |     10 |   17    | sans2021n080374.hdf |
|  43 |      43 | 080375 | D      |     0 |    4.5 |  5.00051e-09 |   4.5 |     0   |  24.99 |     10 |   17.05 | sans2021n080375.hdf |
|  44 |      44 | 080376 | E      |     0 |    4.5 |  5.00051e-09 |   4.5 |     0   |  24.98 |     10 |   17    | sans2021n080376.hdf |
|  45 |      45 | 080377 | F      |     0 |    4.5 |  5.00284e-09 |   4.5 |     0   |  25.01 |     10 |   17.09 | sans2021n080377.hdf |
|  46 |      46 | 080378 | G      |     0 |    4.5 |  5.00284e-09 |   4.5 |     0   |  24.99 |     10 |   19.62 | sans2021n080378.hdf |
|  47 |      47 | 080379 | H      |     0 |    4.5 |  4.99765e-09 |   4.5 |     0   |  24.99 |     10 |   17.02 | sans2021n080379.hdf |
|  48 |      48 | 080380 | I      |     0 |    4.5 |  4.99765e-09 |   4.5 |     0   |  25    |     10 |   17.11 | sans2021n080380.hdf |
|  49 |      49 | 080381 | J      |     0 |    4.5 |  5.00105e-09 |   4.5 |     0   |  25    |     10 |   17.08 | sans2021n080381.hdf |
|  50 |      50 | 080382 | K      |     0 |    4.5 |  5.00105e-09 |   4.5 |     0   |  24.98 |     10 |   16.97 | sans2021n080382.hdf |
|  51 |      51 | 080383 | L      |     0 |    4.5 |  5.00105e-09 |   4.5 |     0   |  24.99 |     10 |   17.05 | sans2021n080383.hdf |
|  52 |      52 | 080384 | M      |     0 |    4.5 |  5.00105e-09 |   4.5 |     0   |  25    |     10 |   17.09 | sans2021n080384.hdf |
|  53 |      53 | 080385 | N      |     0 |    4.5 |  5.00105e-09 |   4.5 |     0   |  25.01 |     10 |   16.96 | sans2021n080385.hdf |
|  54 |      54 | 080386 | O      |     0 |    4.5 |  5.00105e-09 |   4.5 |     0   |  24.99 |     10 |   16.97 | sans2021n080386.hdf |
